decoder,family,tuning_size,combination_count,panel,metric,mean,population_sd,descriptive_ci95_low,descriptive_ci95_high
dbn,exhaustive_1f,1,7,smc_fold0,beat_fmeasure,0.5993034286893929,0.017183446931891777,0.5862292608199761,0.6113860217609558
dbn,exhaustive_1f,1,7,smc_fold0,beat_cmlt,0.526202748153816,0.06817374943418092,0.4747662330115356,0.5750925873268307
dbn,exhaustive_1f,1,7,smc_fold0,beat_amlt,0.7210153510405676,0.07341823800055332,0.6634383625144845,0.7725168617608313
dbn,exhaustive_1f,1,7,gtzan_final0,beat_fmeasure,0.8845168834631124,0.0051642685973867265,0.8806376908932864,0.8882372831358482
dbn,exhaustive_1f,1,7,gtzan_final0,beat_cmlt,0.8013047370662859,0.011840758051457569,0.7920073336170368,0.8094232257976693
dbn,exhaustive_1f,1,7,gtzan_final0,beat_amlt,0.9025831891035127,0.015981851814700222,0.8899433083170579,0.9136532526054177
dbn,exhaustive_1f,1,7,gtzan_final0,downbeat_fmeasure,0.7775355825397577,0.003433033161115855,0.7751364143460012,0.7802558346294672
dbn,exhaustive_1f,1,7,gtzan_final0,downbeat_cmlt,0.7337158288579201,0.005879460995680067,0.7295732184001011,0.7382664582204902
dbn,exhaustive_1f,1,7,gtzan_final0,downbeat_amlt,0.8711574575927618,0.010225839100005666,0.8635949192844755,0.8783162789593523
dbn,exhaustive_2f,2,21,smc_fold0,beat_fmeasure,0.6010371224127042,0.020906824508937723,0.592345175879777,0.6101616999096597
dbn,exhaustive_2f,2,21,smc_fold0,beat_cmlt,0.5191493909332919,0.08259268261525643,0.4841599815967124,0.5547792839671836
dbn,exhaustive_2f,2,21,smc_fold0,beat_amlt,0.7177596465532021,0.06283826761694382,0.690334015223658,0.7436852781364539
dbn,exhaustive_2f,2,21,gtzan_final0,beat_fmeasure,0.8857238286507945,0.004826871757981238,0.8835849113723002,0.8877270661210591
dbn,exhaustive_2f,2,21,gtzan_final0,beat_cmlt,0.803764924158546,0.009765436578369337,0.79937563952747,0.8076801227634495
dbn,exhaustive_2f,2,21,gtzan_final0,beat_amlt,0.9042311186395254,0.012723935640665625,0.8985211208733953,0.9093620854120327
dbn,exhaustive_2f,2,21,gtzan_final0,downbeat_fmeasure,0.7777160238562169,0.0030039724277835032,0.7764508118621429,0.7790130928580685
dbn,exhaustive_2f,2,21,gtzan_final0,downbeat_cmlt,0.7348091509568162,0.005183945784821726,0.7325677988757341,0.7370049848289231
dbn,exhaustive_2f,2,21,gtzan_final0,downbeat_amlt,0.8701145974710497,0.008385243317829031,0.8665493687184079,0.8737105056556554
dbn,exhaustive_4f,4,35,smc_fold0,beat_fmeasure,0.590668238208749,0.01623099677577939,0.5857318115876532,0.5964342768189715
dbn,exhaustive_4f,4,35,smc_fold0,beat_cmlt,0.470845950054674,0.06468676901507062,0.45133922914107083,0.4938572246741525
dbn,exhaustive_4f,4,35,smc_fold0,beat_amlt,0.6987558823286829,0.058515437400110094,0.6793330433159042,0.7180003052110823
dbn,exhaustive_4f,4,35,gtzan_final0,beat_fmeasure,0.8880411990307856,0.003868031859812966,0.8867105050090689,0.8892657706312952
dbn,exhaustive_4f,4,35,gtzan_final0,beat_cmlt,0.8071631874760417,0.008190459233728258,0.8043734840994878,0.8097896613710535
dbn,exhaustive_4f,4,35,gtzan_final0,beat_amlt,0.9050956899574506,0.011450076980775043,0.901226086046281,0.9087888796769829
dbn,exhaustive_4f,4,35,gtzan_final0,downbeat_fmeasure,0.7792063610475053,0.0025254525860574596,0.7783665866973782,0.7800440903646283
dbn,exhaustive_4f,4,35,gtzan_final0,downbeat_cmlt,0.7373681850601533,0.004564270683679476,0.7358354991649457,0.7388622370451361
dbn,exhaustive_4f,4,35,gtzan_final0,downbeat_amlt,0.8683695567709341,0.007734150439175468,0.8658618546717692,0.8709934104528826
dbn,exhaustive_7f,7,1,smc_fold0,beat_fmeasure,0.5799977155840268,,,
dbn,exhaustive_7f,7,1,smc_fold0,beat_cmlt,0.44158662368699875,,,
dbn,exhaustive_7f,7,1,smc_fold0,beat_amlt,0.7488684583213892,,,
dbn,exhaustive_7f,7,1,gtzan_final0,beat_fmeasure,0.8918324570471845,,,
dbn,exhaustive_7f,7,1,gtzan_final0,beat_cmlt,0.8158260438753678,,,
dbn,exhaustive_7f,7,1,gtzan_final0,beat_amlt,0.9149083731293092,,,
dbn,exhaustive_7f,7,1,gtzan_final0,downbeat_fmeasure,0.7823383341417001,,,
dbn,exhaustive_7f,7,1,gtzan_final0,downbeat_cmlt,0.7439053617614322,,,
dbn,exhaustive_7f,7,1,gtzan_final0,downbeat_amlt,0.8742133802844543,,,
