family,tuning_size,combination_count,panel,metric,mean,population_sd,descriptive_ci95_low,descriptive_ci95_high
exhaustive_1f,1,7,smc_fold0,beat_fmeasure,0.6547418267638507,0.002975623226621381,0.6524214320299105,0.6568025048788314
exhaustive_1f,1,7,smc_fold0,beat_cmlt,0.6207222319952137,0.009059110262307124,0.6138050007093642,0.6271940606578023
exhaustive_1f,1,7,smc_fold0,beat_amlt,0.7473776957284055,0.008336415660102701,0.7411579333669748,0.7532280069245517
exhaustive_1f,1,7,gtzan_final1,beat_fmeasure,0.8955015538243493,0.0002704006579411749,0.8952976237306515,0.8956943285091681
exhaustive_1f,1,7,gtzan_final1,beat_cmlt,0.8092706450532521,0.0019323056990682723,0.8078606215749478,0.8106747711241856
exhaustive_1f,1,7,gtzan_final1,beat_amlt,0.9032991019363144,0.0022707549852650413,0.9015989833707396,0.9049865410380254
exhaustive_1f,1,7,gtzan_final1,downbeat_fmeasure,0.7915606308956912,0.001112934026627845,0.7907262659092871,0.7923292574266949
exhaustive_1f,1,7,gtzan_final1,downbeat_cmlt,0.7148458922574534,0.0009810380671861625,0.7140801145284497,0.7155290516511518
exhaustive_1f,1,7,gtzan_final1,downbeat_amlt,0.850863051491592,0.002811082016249856,0.8488569649916482,0.852936302880952
exhaustive_2f,2,21,smc_fold0,beat_fmeasure,0.6558255226943219,0.002253322309357807,0.6548760239801348,0.6568008667793107
exhaustive_2f,2,21,smc_fold0,beat_cmlt,0.6241414026398994,0.005610365159266148,0.6217242003463074,0.6265139183549218
exhaustive_2f,2,21,smc_fold0,beat_amlt,0.7523068736939672,0.004467375086857053,0.7501870151487414,0.7539956463166098
exhaustive_2f,2,21,gtzan_final1,beat_fmeasure,0.8955628840008409,0.000178415380763606,0.8954830874386184,0.8956351502012367
exhaustive_2f,2,21,gtzan_final1,beat_cmlt,0.809764908829363,0.0011037142031007261,0.8092815467035706,0.81023031018713
exhaustive_2f,2,21,gtzan_final1,beat_amlt,0.9039608354775669,0.001391636676484698,0.9033540826427208,0.904543352681271
exhaustive_2f,2,21,gtzan_final1,downbeat_fmeasure,0.7921699738442989,0.0006834871210222792,0.791851522066482,0.792435939751608
exhaustive_2f,2,21,gtzan_final1,downbeat_cmlt,0.7155224407559084,0.0009024955641544187,0.7151402424504144,0.715910853510598
exhaustive_2f,2,21,gtzan_final1,downbeat_amlt,0.8514660329898869,0.001526503133711558,0.8507955333960333,0.8521010738674791
exhaustive_4f,4,35,smc_fold0,beat_fmeasure,0.6569820200764204,0.0018813135913756944,0.6563687134930777,0.6576161103255672
exhaustive_4f,4,35,smc_fold0,beat_cmlt,0.6269158640330512,0.004521584783317324,0.6254511621375509,0.6284488543992028
exhaustive_4f,4,35,smc_fold0,beat_amlt,0.7547075782163272,0.003015678587811284,0.7537187511839469,0.7557127180501502
exhaustive_4f,4,35,gtzan_final1,beat_fmeasure,0.8955065533321573,0.00017393538485846637,0.8954488174642812,0.8955639037193648
exhaustive_4f,4,35,gtzan_final1,beat_cmlt,0.810236369594624,0.0007360142857434423,0.8099956861173471,0.8104839429889384
exhaustive_4f,4,35,gtzan_final1,beat_amlt,0.9046527598363115,0.0010868733831533623,0.9042939523839738,0.9050143791520613
exhaustive_4f,4,35,gtzan_final1,downbeat_fmeasure,0.7918147108607441,0.0006227129593514491,0.791604120948272,0.792013446727274
exhaustive_4f,4,35,gtzan_final1,downbeat_cmlt,0.715345860738141,0.0006743493092917325,0.715131235726011,0.7155769718879201
exhaustive_4f,4,35,gtzan_final1,downbeat_amlt,0.8521408201175521,0.0013252215473180762,0.8517112197929565,0.8525893129180812
exhaustive_7f,7,1,smc_fold0,beat_fmeasure,0.6576139596187013,,,
exhaustive_7f,7,1,smc_fold0,beat_cmlt,0.6292443559606538,,,
exhaustive_7f,7,1,smc_fold0,beat_amlt,0.7589673472276188,,,
exhaustive_7f,7,1,gtzan_final1,beat_fmeasure,0.8953434153195663,,,
exhaustive_7f,7,1,gtzan_final1,beat_cmlt,0.8106324836792859,,,
exhaustive_7f,7,1,gtzan_final1,beat_amlt,0.9055207788131425,,,
exhaustive_7f,7,1,gtzan_final1,downbeat_fmeasure,0.7908669649274843,,,
exhaustive_7f,7,1,gtzan_final1,downbeat_cmlt,0.7147934068928178,,,
exhaustive_7f,7,1,gtzan_final1,downbeat_amlt,0.8525365103160145,,,
