label,family,tuning_size,tuning_folds,selected_candidate_hash,configuration_hash,selected_parameters,smc_piece_count,gtzan_piece_count,smc_beat_fmeasure,smc_beat_cmlt,smc_beat_amlt,gtzan_beat_fmeasure,gtzan_beat_cmlt,gtzan_beat_amlt,gtzan_downbeat_fmeasure,gtzan_downbeat_cmlt,gtzan_downbeat_amlt
2f_1_4,exhaustive_2f,2,"1,4",252f7adc4993a27ce00bdc1dad7e2b3f27228ec9dc04b8980d8c60817d32a6e4,c7c810f48e59b3ec70d519087706ab5c38f4152cc186018061a79ea33df16adf,"{""bar_reward"":0.0,""candidate_threshold"":0.03,""downbeat_agreement_threshold"":0.6,""downbeat_agreement_tolerance"":0.07,""downbeat_mode"":""meter"",""downbeat_temperature"":4.0,""duration_sigma"":0.18,""duration_weight"":4.0,""fallback_maximal_ratio"":1.8,""fallback_minimal_ratio"":0.8,""fps"":50.0,""local_window_seconds"":8.0,""logit_clip"":6.0,""max_bpm"":300.0,""meter_change_penalty"":3.0,""meters"":[2,3,4,5,6,7],""min_bpm"":30.0,""temperature"":2.0,""tempo_bias"":0.15,""uncertain_sigma"":0.2}",27,993,0.6565362570515764,0.6339394620066885,0.753973703150458,0.8921936514149004,0.8019518302896365,0.905748524218409,0.7901501328761917,0.7004730523653238,0.8548649132380642
2f_1_5,exhaustive_2f,2,"1,5",70843a30a69a606429c7501bcdc734becdf8d909b206f5ef421c651fb75f66e5,358256fc3791ffc975aa260f0f4dfd7cc25474c3976410fc60aea54abeaae238,"{""bar_reward"":0.0,""candidate_threshold"":0.03,""downbeat_agreement_threshold"":0.6,""downbeat_agreement_tolerance"":0.07,""downbeat_mode"":""meter"",""downbeat_temperature"":4.0,""duration_sigma"":0.15,""duration_weight"":4.0,""fallback_maximal_ratio"":1.8,""fallback_minimal_ratio"":0.9,""fps"":50.0,""local_window_seconds"":8.0,""logit_clip"":6.0,""max_bpm"":300.0,""meter_change_penalty"":3.0,""meters"":[2,3,4,5,6,7],""min_bpm"":30.0,""temperature"":2.0,""tempo_bias"":0.15,""uncertain_sigma"":0.4}",27,993,0.6552076156208889,0.6227523525936504,0.7524753438606154,0.8925694031120669,0.8007169876721455,0.9053670590344912,0.7906372966885902,0.6987627956727133,0.8538915396613961
2f_1_6,exhaustive_2f,2,"1,6",93f40ad87602ae68d84c6d1d72e307c27a67cc94d2b508f619f3376df08ae7de,c3311ff6a0bfa0d0344838fdc923b7627ccbe32332a2fb9f17664c2804eca22a,"{""bar_reward"":0.0,""candidate_threshold"":0.03,""downbeat_agreement_threshold"":0.6,""downbeat_agreement_tolerance"":0.07,""downbeat_mode"":""meter"",""downbeat_temperature"":4.0,""duration_sigma"":0.15,""duration_weight"":4.0,""fallback_maximal_ratio"":1.8,""fallback_minimal_ratio"":0.85,""fps"":50.0,""local_window_seconds"":8.0,""logit_clip"":6.0,""max_bpm"":300.0,""meter_change_penalty"":3.0,""meters"":[2,3,4,5,6,7],""min_bpm"":30.0,""temperature"":2.0,""tempo_bias"":0.15,""uncertain_sigma"":0.4}",27,993,0.6576139596187013,0.6292443559606538,0.7589673472276188,0.8926876534910437,0.8018783250478511,0.9066984033218329,0.7908900869895549,0.7009166387201801,0.8543926402418801
2f_1_7,exhaustive_2f,2,"1,7",23b5f1823e5c92dd3ec1d1c93bb609620bfc6eb184ba4c67b0f3228c5d0ba596,0d3473d4d588f2d3cae869e1ea886b7b80aae15ba82871f3e6f07792fd0c7c90,"{""bar_reward"":0.0,""candidate_threshold"":0.03,""downbeat_agreement_threshold"":0.6,""downbeat_agreement_tolerance"":0.07,""downbeat_mode"":""meter"",""downbeat_temperature"":4.0,""duration_sigma"":0.18,""duration_weight"":4.0,""fallback_maximal_ratio"":1.8,""fallback_minimal_ratio"":0.9,""fps"":50.0,""local_window_seconds"":8.0,""logit_clip"":6.0,""max_bpm"":300.0,""meter_change_penalty"":3.0,""meters"":[2,3,4,5,6,7],""min_bpm"":30.0,""temperature"":2.0,""tempo_bias"":0.15,""uncertain_sigma"":0.2}",27,993,0.6548501152918402,0.6227029255317394,0.7522836495190816,0.8926752387041609,0.800990276442184,0.9061857951054595,0.789980877933873,0.6979380439018422,0.8549606346878936
2f_2_3,exhaustive_2f,2,"2,3",99a99862abea8248ce12c6486ece9d222829d4a0d87a1451f542fa7d8536855e,5be2d0f5c6f59da2a378d4c9f53cb7e42ffc45707af8b8a1380bee87e190e748,"{""bar_reward"":0.0,""candidate_threshold"":0.03,""downbeat_agreement_threshold"":0.6,""downbeat_agreement_tolerance"":0.07,""downbeat_mode"":""meter"",""downbeat_temperature"":4.0,""duration_sigma"":0.12,""duration_weight"":4.0,""fallback_maximal_ratio"":1.8,""fallback_minimal_ratio"":0.9,""fps"":50.0,""local_window_seconds"":8.0,""logit_clip"":6.0,""max_bpm"":300.0,""meter_change_penalty"":3.0,""meters"":[2,3,4,5,6,7],""min_bpm"":30.0,""temperature"":2.0,""tempo_bias"":0.15,""uncertain_sigma"":0.4}",27,993,0.6554164710929021,0.6227786947252556,0.7521592382813519,0.8926138904692752,0.8008184041401912,0.9057587807077065,0.7913342214785298,0.6997330491487425,0.8554198966282873
2f_2_4,exhaustive_2f,2,"2,4",251c96b23223b2e4ddef7f4ab85592663a1c27fcd6d62b1a5d1ef5625ed01f71,2073469055e486de2f8af10a41fae09cdded01a8f4dd2d8a68eb4d84d8f6baed,"{""bar_reward"":0.0,""candidate_threshold"":0.03,""downbeat_agreement_threshold"":0.6,""downbeat_agreement_tolerance"":0.07,""downbeat_mode"":""meter"",""downbeat_temperature"":4.0,""duration_sigma"":0.12,""duration_weight"":4.0,""fallback_maximal_ratio"":1.8,""fallback_minimal_ratio"":0.85,""fps"":50.0,""local_window_seconds"":8.0,""logit_clip"":6.0,""max_bpm"":300.0,""meter_change_penalty"":3.0,""meters"":[2,3,4,5,6,7],""min_bpm"":30.0,""temperature"":2.0,""tempo_bias"":0.15,""uncertain_sigma"":0.4}",27,993,0.6578228150907145,0.6292706980922589,0.7586512416483553,0.8927303858590241,0.8016974081187908,0.9060563476032303,0.7915986455242192,0.7010246312479439,0.8560025202510195
2f_2_5,exhaustive_2f,2,"2,5",70843a30a69a606429c7501bcdc734becdf8d909b206f5ef421c651fb75f66e5,358256fc3791ffc975aa260f0f4dfd7cc25474c3976410fc60aea54abeaae238,"{""bar_reward"":0.0,""candidate_threshold"":0.03,""downbeat_agreement_threshold"":0.6,""downbeat_agreement_tolerance"":0.07,""downbeat_mode"":""meter"",""downbeat_temperature"":4.0,""duration_sigma"":0.15,""duration_weight"":4.0,""fallback_maximal_ratio"":1.8,""fallback_minimal_ratio"":0.9,""fps"":50.0,""local_window_seconds"":8.0,""logit_clip"":6.0,""max_bpm"":300.0,""meter_change_penalty"":3.0,""meters"":[2,3,4,5,6,7],""min_bpm"":30.0,""temperature"":2.0,""tempo_bias"":0.15,""uncertain_sigma"":0.4}",27,993,0.6552076156208889,0.6227523525936504,0.7524753438606154,0.8925694031120669,0.8007169876721455,0.9053670590344912,0.7906372966885902,0.6987627956727133,0.8538915396613961
2f_2_6,exhaustive_2f,2,"2,6",99a99862abea8248ce12c6486ece9d222829d4a0d87a1451f542fa7d8536855e,5be2d0f5c6f59da2a378d4c9f53cb7e42ffc45707af8b8a1380bee87e190e748,"{""bar_reward"":0.0,""candidate_threshold"":0.03,""downbeat_agreement_threshold"":0.6,""downbeat_agreement_tolerance"":0.07,""downbeat_mode"":""meter"",""downbeat_temperature"":4.0,""duration_sigma"":0.12,""duration_weight"":4.0,""fallback_maximal_ratio"":1.8,""fallback_minimal_ratio"":0.9,""fps"":50.0,""local_window_seconds"":8.0,""logit_clip"":6.0,""max_bpm"":300.0,""meter_change_penalty"":3.0,""meters"":[2,3,4,5,6,7],""min_bpm"":30.0,""temperature"":2.0,""tempo_bias"":0.15,""uncertain_sigma"":0.4}",27,993,0.6554164710929021,0.6227786947252556,0.7521592382813519,0.8926138904692752,0.8008184041401912,0.9057587807077065,0.7913342214785298,0.6997330491487425,0.8554198966282873
2f_2_7,exhaustive_2f,2,"2,7",70843a30a69a606429c7501bcdc734becdf8d909b206f5ef421c651fb75f66e5,358256fc3791ffc975aa260f0f4dfd7cc25474c3976410fc60aea54abeaae238,"{""bar_reward"":0.0,""candidate_threshold"":0.03,""downbeat_agreement_threshold"":0.6,""downbeat_agreement_tolerance"":0.07,""downbeat_mode"":""meter"",""downbeat_temperature"":4.0,""duration_sigma"":0.15,""duration_weight"":4.0,""fallback_maximal_ratio"":1.8,""fallback_minimal_ratio"":0.9,""fps"":50.0,""local_window_seconds"":8.0,""logit_clip"":6.0,""max_bpm"":300.0,""meter_change_penalty"":3.0,""meters"":[2,3,4,5,6,7],""min_bpm"":30.0,""temperature"":2.0,""tempo_bias"":0.15,""uncertain_sigma"":0.4}",27,993,0.6552076156208889,0.6227523525936504,0.7524753438606154,0.8925694031120669,0.8007169876721455,0.9053670590344912,0.7906372966885902,0.6987627956727133,0.8538915396613961
2f_3_4,exhaustive_2f,2,"3,4",8178e190c878986ab60533dcb2f17871f6b125943ba9905e572163eb9d2aefd3,25b411a7ecc93c5128004b996636c5c5c825f4d6f97d31a087aa3a92cbc2a862,"{""bar_reward"":0.0,""candidate_threshold"":0.03,""downbeat_agreement_threshold"":0.6,""downbeat_agreement_tolerance"":0.07,""downbeat_mode"":""meter"",""downbeat_temperature"":4.0,""duration_sigma"":0.08,""duration_weight"":4.0,""fallback_maximal_ratio"":1.8,""fallback_minimal_ratio"":0.85,""fps"":50.0,""local_window_seconds"":8.0,""logit_clip"":6.0,""max_bpm"":300.0,""meter_change_penalty"":3.0,""meters"":[2,3,4,5,6,7],""min_bpm"":30.0,""temperature"":2.0,""tempo_bias"":0.15,""uncertain_sigma"":0.4}",27,993,0.6596411795673068,0.6290806122566238,0.7551219040293977,0.892546603048219,0.8012715823218094,0.9058939537591308,0.790870034951094,0.7009207987680673,0.8560044365489426
