panel,left,right,metric,piece_count,mean_difference,ci95_low,ci95_high,bootstrap_probability_gt_zero,repetitions,seed
mscnn_smc_oof,casm_full,one_sided,beat_amlt,217,0.0006058746417710284,-0.002601314276869717,0.0037438643297616945,0.6414,5000,20260904
mscnn_smc_oof,casm_full,no_safeguard,beat_fmeasure,217,0.0047015206441040425,-0.0008475840139330526,0.010641355068484733,0.9538,5000,20260904
mscnn_smc_oof,casm_full,no_safeguard,beat_cmlt,217,-0.003587129795867452,-0.012075426393418059,0.0037337422969311767,0.1844,5000,20260904
mscnn_smc_oof,casm_full,no_safeguard,beat_amlt,217,-0.006397258128812091,-0.015597262476328417,0.0017318995061100645,0.0664,5000,20260904
mscnn_smc_oof,casm_full,plpdp,beat_fmeasure,217,-0.0006564698827417502,-0.009922809461857503,0.008727163021195907,0.4508,5000,20260904
mscnn_smc_oof,casm_full,plpdp,beat_cmlt,217,0.02076858851543615,-0.003256019648399413,0.04496330229916215,0.953,5000,20260904
mscnn_smc_oof,casm_full,plpdp,beat_amlt,217,0.01393580191791587,-0.0064323535727652485,0.03526137073803861,0.9042,5000,20260904
mscnn_smc_oof,dbn_matched_30_300,dbn_default,beat_fmeasure,217,-0.0409210678541315,-0.058046293704637895,-0.02442695726590719,0.0,5000,20260904
mscnn_smc_oof,dbn_matched_30_300,dbn_default,beat_cmlt,217,-0.07011830505251365,-0.11130874203413531,-0.029097735381279896,0.0006,5000,20260904
mscnn_smc_oof,dbn_matched_30_300,dbn_default,beat_amlt,217,-0.030091538391765954,-0.06035024869456246,-0.001440674462968497,0.0212,5000,20260904
tcn_smc_final0,casm_full,direct,beat_fmeasure,217,0.009109377586365966,0.004334956463125797,0.013842098337012113,0.9998,5000,20260904
tcn_smc_final0,casm_full,direct,beat_cmlt,217,0.040640984453363165,0.030420293746842353,0.05153306229506782,1.0,5000,20260904
tcn_smc_final0,casm_full,direct,beat_amlt,217,0.048315712272307264,0.03799222931476447,0.058718884296098194,1.0,5000,20260904
tcn_smc_final0,casm_full,local_target_fixed,beat_fmeasure,217,0.007040553060157549,0.002184386819098828,0.011770839664751712,0.997,5000,20260904
tcn_smc_final0,casm_full,local_target_fixed,beat_cmlt,217,0.034969145590128405,0.02475365485656297,0.04558969457120339,1.0,5000,20260904
tcn_smc_final0,casm_full,local_target_fixed,beat_amlt,217,0.04229607756523283,0.032322902350164696,0.05295907851850694,1.0,5000,20260904
tcn_smc_final0,casm_full,strength_only,beat_fmeasure,217,0.0027398478994022845,-0.0024361044118928056,0.007832063083161915,0.8482,5000,20260904
tcn_smc_final0,casm_full,strength_only,beat_cmlt,217,0.004624150586209984,-0.0051347009059293635,0.014422375889886384,0.8328,5000,20260904
tcn_smc_final0,casm_full,strength_only,beat_amlt,217,0.0038331471230354055,-0.004879240191305349,0.012478558421178522,0.8078,5000,20260904
tcn_smc_final0,casm_full,width_only,beat_fmeasure,217,0.003921915009984211,-0.001120869838758737,0.008939614873217778,0.9386,5000,20260904
tcn_smc_final0,casm_full,width_only,beat_cmlt,217,0.007091799161569601,-0.0021610456425593277,0.016290800114291584,0.9316,5000,20260904
tcn_smc_final0,casm_full,width_only,beat_amlt,217,0.0029827160000297655,-0.00543032162665199,0.011857792692508902,0.7538,5000,20260904
tcn_smc_final0,casm_full,one_sided,beat_fmeasure,217,0.00024844150159657923,-0.0011732231686877282,0.001704605071686187,0.6288,5000,20260904
tcn_smc_final0,casm_full,one_sided,beat_cmlt,217,0.0033755366384451684,-0.00013222339706764054,0.0071811352077585265,0.97,5000,20260904
tcn_smc_final0,casm_full,one_sided,beat_amlt,217,0.0015745068355251858,-0.0013883902340845738,0.005015838356237101,0.8352,5000,20260904
tcn_smc_final0,casm_full,no_safeguard,beat_fmeasure,217,0.003059129066812885,-0.0030920571389066406,0.009568070970847671,0.827,5000,20260904
tcn_smc_final0,casm_full,no_safeguard,beat_cmlt,217,-0.01718827172052332,-0.028546069966335692,-0.0062279685441576586,0.0006,5000,20260904
tcn_smc_final0,casm_full,no_safeguard,beat_amlt,217,-0.013263736742352206,-0.0243760571573585,-0.0020393884312787805,0.01,5000,20260904
tcn_smc_final0,casm_full,plpdp,beat_fmeasure,217,0.0231457595266007,0.012773301271628092,0.033575412756938816,1.0,5000,20260904
tcn_smc_final0,casm_full,plpdp,beat_cmlt,217,0.09854062788952468,0.06763824554116638,0.1289804926176826,1.0,5000,20260904
tcn_smc_final0,casm_full,plpdp,beat_amlt,217,0.0038182920270132406,-0.018208377301848194,0.026802737073725148,0.6342,5000,20260904
tcn_smc_final0,dbn_matched_30_300,dbn_default,beat_fmeasure,217,-0.034659331493933805,-0.04782627373164648,-0.022489413121678733,0.0,5000,20260904
tcn_smc_final0,dbn_matched_30_300,dbn_default,beat_cmlt,217,-0.050409328458756536,-0.07576971859631657,-0.02753842502332848,0.0,5000,20260904
tcn_smc_final0,dbn_matched_30_300,dbn_default,beat_amlt,217,-0.004471995702798696,-0.0237352430745633,0.014385524312956748,0.332,5000,20260904
bt_gtzan_seed0,casm_full,direct,beat_fmeasure,993,0.0005755715177987857,-0.0001948496411900809,0.001343220757412536,0.9316,5000,20260904
bt_gtzan_seed0,casm_full,direct,beat_cmlt,993,0.0034695694650261452,0.0016351198236059928,0.005315860855505768,0.9998,5000,20260904
bt_gtzan_seed0,casm_full,direct,beat_amlt,993,0.0033994690430679763,0.0014254764537281958,0.005306550283814701,0.9998,5000,20260904
bt_gtzan_seed0,casm_full,local_target_fixed,beat_fmeasure,993,0.003429056258757172,0.0022815623589923315,0.004613474528829028,1.0,5000,20260904
bt_gtzan_seed0,casm_full,local_target_fixed,beat_cmlt,993,0.011413229203494614,0.008269434553997918,0.014736776798339807,1.0,5000,20260904
bt_gtzan_seed0,casm_full,local_target_fixed,beat_amlt,993,0.011864378845046831,0.008532083503289595,0.015212477306710236,1.0,5000,20260904
bt_gtzan_seed0,casm_full,strength_only,beat_fmeasure,993,0.002010470636492258,0.0011861931623224809,0.0028679857824422833,1.0,5000,20260904
bt_gtzan_seed0,casm_full,strength_only,beat_cmlt,993,0.005598822109004114,0.003314289630815288,0.008080158958334492,1.0,5000,20260904
bt_gtzan_seed0,casm_full,strength_only,beat_amlt,993,0.004910952465074836,0.002483500290625136,0.007513756887702034,1.0,5000,20260904
bt_gtzan_seed0,casm_full,width_only,beat_fmeasure,993,0.0031391090139603626,0.0022059633602098862,0.0041139977990533325,1.0,5000,20260904
bt_gtzan_seed0,casm_full,width_only,beat_cmlt,993,0.009741911852735574,0.006904705261156399,0.0127393962221619,1.0,5000,20260904
bt_gtzan_seed0,casm_full,width_only,beat_amlt,993,0.009478506786724046,0.006474624752062114,0.01271145110517794,1.0,5000,20260904
bt_gtzan_seed0,casm_full,one_sided,beat_fmeasure,993,-5.926999892961625e-06,-0.00038978703603051126,0.0004308982741707807,0.4574,5000,20260904
bt_gtzan_seed0,casm_full,one_sided,beat_cmlt,993,4.283859054105793e-05,-0.0005797620888954232,0.0005961581023093501,0.575,5000,20260904
bt_gtzan_seed0,casm_full,one_sided,beat_amlt,993,-0.0002772488765134463,-0.0010854924376456155,0.0003867533871379233,0.2452,5000,20260904
bt_gtzan_seed0,casm_full,no_safeguard,beat_fmeasure,993,0.001415466556248692,-7.937407095459504e-05,0.002988936436122985,0.9656,5000,20260904
bt_gtzan_seed0,casm_full,no_safeguard,beat_cmlt,993,-0.000940051841774215,-0.004575804497691506,0.002697286066103246,0.3008,5000,20260904
