label,family,tuning_size,tuning_folds,selected_candidate_hash,configuration_hash,smc_piece_count,gtzan_piece_count,smc_beat_fmeasure,smc_beat_cmlt,smc_beat_amlt,gtzan_beat_fmeasure,gtzan_beat_cmlt,gtzan_beat_amlt,gtzan_downbeat_fmeasure,gtzan_downbeat_cmlt,gtzan_downbeat_amlt
direct,direct,0,,,6acfad49ba1080aa053ac1950e3a73d11af7efd1cdfecdd111329a76a544d92a,27,993,0.6502497771278297,0.6031252961411672,0.7212584700548198,0.894858084201374,0.805524108974793,0.8986722530578277,0.7842041279731439,0.6789836811441253,0.7893379478375561
1f_1,exhaustive_1f,1,1,93f40ad87602ae68d84c6d1d72e307c27a67cc94d2b508f619f3376df08ae7de,c3311ff6a0bfa0d0344838fdc923b7627ccbe32332a2fb9f17664c2804eca22a,27,993,0.6576139596187013,0.6292443559606539,0.7589673472276187,0.8953434153195664,0.810632483679285,0.9055207788131414,0.7908669649274853,0.7147934068928179,0.8525365103160152
1f_2,exhaustive_1f,1,2,99a99862abea8248ce12c6486ece9d222829d4a0d87a1451f542fa7d8536855e,5be2d0f5c6f59da2a378d4c9f53cb7e42ffc45707af8b8a1380bee87e190e748,27,993,0.6554164710929022,0.6227786947252558,0.7521592382813518,0.8956930001643602,0.8095486226565658,0.9033610179482652,0.7925783674620172,0.7157154842456909,0.8509708787315057
1f_3,exhaustive_1f,1,3,02e78e97b3575ed22c4a68dcfc81f511bc3633ac348bf19828f51f4ed80f53aa,673f7dc9aab24d385aa78d96e59613dfdf3d08df31f4868f8e134d82204409b6,27,993,0.6572348355694945,0.6225886088896205,0.7486299006623943,0.8957005393548882,0.8095330706930711,0.9035358566279889,0.7927555747632306,0.7156805387445415,0.8509614432665292
1f_4,exhaustive_1f,1,4,c9b58fc4e32a1fcd463357f7adf6d9a5409bb428ed71bc6b9578383c6a67d08e,8296140de7df2ce9f389348f3f206cfcfbf041706fafcb6ee08db1ede3773a64,27,993,0.6575466402677466,0.63351580927082,0.7509602858163552,0.8958211143153095,0.8124011923082105,0.9067601273413453,0.7923341797917454,0.7158609832946851,0.8558235129091235
1f_5,exhaustive_1f,1,5,5ae7853db9345eae791a827e2178f0ffa4574a12583ca0c52ae8faa89e5eecc7,8bf8a58ac25af7365d8cf85a2903701702866727ea736e40536a4940dc04f4f6,27,993,0.6510471153680888,0.6093746959817649,0.735918363722578,0.8951011556953693,0.8066483944362239,0.9000998315938485,0.7900307586952874,0.7134100406709696,0.8474034249933365
1f_6,exhaustive_1f,1,6,5449db395c98788f75d1c9169835e8deeff5c25cc7da68199a488f9e66217a64,4e9ba38be773530116ff8b1598997555fbeacc91f43f1a2be404c31459e18b7a,27,993,0.6546450277165289,0.6210296997082069,0.7507526909751717,0.8956872201969621,0.8095743525446664,0.9034914785044663,0.7922963726538383,0.7150764808399519,0.8514315974924428
1f_7,exhaustive_1f,1,7,653f3d357e6b4c512bcbc23898a498c6a99848064662301b22c619ec10718fe1,0c26435216c378415e0f6fb0e11ee26499c16f19af348869e76862f791e47d16,27,993,0.6496887377134934,0.6065237594301751,0.734256043413368,0.8951644317239913,0.8065563990547368,0.9003246227251368,0.7900621979762402,0.7133843111135181,0.846913992732195
2f_1_2,exhaustive_2f,2,"1,2",70843a30a69a606429c7501bcdc734becdf8d909b206f5ef421c651fb75f66e5,358256fc3791ffc975aa260f0f4dfd7cc25474c3976410fc60aea54abeaae238,27,993,0.6552076156208889,0.6227523525936505,0.7524753438606153,0.895664049873638,0.8094104271409177,0.9034922647257125,0.792086328883939,0.7151432971176126,0.8506235220208559
2f_1_3,exhaustive_2f,2,"1,3",8178e190c878986ab60533dcb2f17871f6b125943ba9905e572163eb9d2aefd3,25b411a7ecc93c5128004b996636c5c5c825f4d6f97d31a087aa3a92cbc2a862,27,993,0.659641179567307,0.6290806122566239,0.7551219040293977,0.8953632529838381,0.8107395861466845,0.905242179125195,0.7921349922567594,0.7162381004607494,0.8528648713067262
