piece,dataset,fold,beat_fmeasure,beat_cmlt,beat_amlt,downbeat_fmeasure,downbeat_cmlt,downbeat_amlt
asap/Bach_Fugue_bwv_862_Song04M/track.npy,asap,0,0.981549815498155,0.9562043795620438,0.9562043795620438,0.4158415841584159,0.0,0.5882352941176471
asap/Bach_Fugue_bwv_863_LeeN01M/track.npy,asap,0,0.9935064935064934,0.9741935483870968,0.9741935483870968,0.6608695652173913,0.013157894736842105,0.948051948051948
asap/Bach_Fugue_bwv_863_Shychko01M/track.npy,asap,0,0.9968051118210862,0.9872611464968153,0.9872611464968153,0.5739130434782609,0.0,0.8441558441558441
asap/Bach_Fugue_bwv_863_TongB01M/track.npy,asap,0,0.9968051118210862,0.9872611464968153,0.9872611464968153,0.6608695652173913,0.0,0.974025974025974
asap/Bach_Fugue_bwv_868_GonzalezJ05M/track.npy,asap,0,0.9130434782608696,0.697986577181208,0.697986577181208,0.5319148936170212,0.03225806451612903,0.6349206349206349
asap/Bach_Fugue_bwv_873_Lisiecki13M/track.npy,asap,0,0.9888475836431226,0.9703703703703703,0.9703703703703703,0.6633165829145728,0.007575757575757576,0.9699248120300752
asap/Bach_Fugue_bwv_888_ZhaoK01M/track.npy,asap,0,0.7456140350877192,0.5737704918032787,0.5737704918032787,0.47619047619047616,0.1891891891891892,0.3333333333333333
asap/Bach_Prelude_bwv_867_HuNY01M/track.npy,asap,0,0.7826086956521738,0.32608695652173914,0.4426229508196721,0.4810126582278481,0.03571428571428571,0.32142857142857145
asap/Bach_Prelude_bwv_867_Sham01M/track.npy,asap,0,0.771186440677966,0.2638888888888889,0.5628415300546448,0.46153846153846156,0.03636363636363636,0.32727272727272727
asap/Bach_Prelude_bwv_868_GonzalezJ05M/track.npy,asap,0,0.9857142857142858,0.9857142857142858,0.9857142857142858,0.6538461538461539,0.0,0.9428571428571428
asap/Bach_Prelude_bwv_880_LeungR01M/track.npy,asap,0,0.985981308411215,0.9723502304147466,0.9723502304147466,0.5421686746987953,0.20833333333333334,0.20833333333333334
asap/Bach_Prelude_bwv_880_WangA04M/track.npy,asap,0,0.9082568807339451,0.8008849557522124,0.8008849557522124,0.4745762711864407,0.09345794392523364,0.12949640287769784
asap/Bach_Prelude_bwv_891_BLINOV04M/track.npy,asap,0,0.8985507246376812,0.7119565217391305,0.7119565217391305,0.7682119205298013,0.6172839506172839,0.6172839506172839
asap/Bach_Prelude_bwv_891_Duepree06M/track.npy,asap,0,0.9345794392523364,0.8385093167701864,0.8385093167701864,0.875,0.8125,0.8125
asap/Beethoven_Piano_Sonatas_17-1_KaszoS09M/track.npy,asap,0,0.6709741550695826,0.0920535011801731,0.5937921727395412,0.5506756756756757,0.29245283018867924,0.29245283018867924
asap/Beethoven_Piano_Sonatas_17-1_no_repeat_GuoE02M/track.npy,asap,0,0.6325648414985591,0.058693244739756366,0.6783505154639176,0.5756097560975609,0.2831858407079646,0.2831858407079646
asap/Beethoven_Piano_Sonatas_17-1_no_repeat_KabuliL02M/track.npy,asap,0,0.6757865937072504,0.150609080841639,0.5152057245080501,0.5255474452554745,0.23893805309734514,0.23893805309734514
asap/Beethoven_Piano_Sonatas_17-1_no_repeat_Richardson02M/track.npy,asap,0,0.6548188653451812,0.07649667405764966,0.5347593582887701,0.48404255319148937,0.14601769911504425,0.3466666666666667
asap/Beethoven_Piano_Sonatas_17-1_no_repeat_TuanS02M/track.npy,asap,0,0.6412005457025921,0.08416389811738649,0.6092362344582594,0.5522388059701493,0.2743362831858407,0.2743362831858407
asap/Beethoven_Piano_Sonatas_17-1_no_repeat_WangH03M/track.npy,asap,0,0.6488439306358382,0.058758314855875834,0.7033195020746889,0.5980861244019139,0.34513274336283184,0.34513274336283184
asap/Beethoven_Piano_Sonatas_21-1_KaiRuiR02M/track.npy,asap,0,0.8997059784384188,0.758485639686684,0.758485639686684,0.6792828685258965,0.1706924315619968,0.5647058823529412
asap/Beethoven_Piano_Sonatas_21-1_Sekino05M/track.npy,asap,0,0.8978774529435322,0.7313891020721413,0.7313891020721413,0.613931523022432,0.06386861313868614,0.6984924623115578
asap/Beethoven_Piano_Sonatas_21-1_no_repeat_GonzalezJ06M/track.npy,asap,0,0.8667507356031946,0.721709974853311,0.721709974853311,0.6719367588932806,0.28043478260869564,0.40033500837520936
asap/Beethoven_Piano_Sonatas_21-1_no_repeat_KimSY02M/track.npy,asap,0,0.8742562475208251,0.6875,0.6875,0.6201342281879194,0.2040358744394619,0.42546063651591287
asap/Beethoven_Piano_Sonatas_21-1_no_repeat_LeeN02M/track.npy,asap,0,0.8736286062576188,0.7050473186119873,0.7050473186119873,0.674863387978142,0.2748267898383372,0.3768844221105528
asap/Beethoven_Piano_Sonatas_21-1_no_repeat_RichardsonC02M/track.npy,asap,0,0.869155206286837,0.6605029585798816,0.6605029585798816,0.64,0.21507760532150777,0.4371859296482412
asap/Beethoven_Piano_Sonatas_21-1_no_repeat_Shychko02M/track.npy,asap,0,0.8974137931034483,0.7219430485762144,0.7219430485762144,0.6435006435006434,0.14225941422594143,0.5611390284757118
asap/Beethoven_Piano_Sonatas_21-1_no_repeat_Sladek02M/track.npy,asap,0,0.8511856091578086,0.6424581005586593,0.6424581005586593,0.6658322903629538,0.2,0.5041876046901173
asap/Beethoven_Piano_Sonatas_21-1_no_repeat_Song03M/track.npy,asap,0,0.8677110530896432,0.6543933054393305,0.6543933054393305,0.7220630372492836,0.3358395989974937,0.34673366834170855
asap/Beethoven_Piano_Sonatas_21-1_no_repeat_SunY02M/track.npy,asap,0,0.8493807431082703,0.6498855835240275,0.6498855835240275,0.620253164556962,0.14634146341463414,0.5495798319327732
asap/Beethoven_Piano_Sonatas_21-1_no_repeat_Tetzloff05M/track.npy,asap,0,0.8479555379118698,0.6284853051996986,0.6284853051996986,0.58159509202454,0.1276595744680851,0.4991596638655462
asap/Beethoven_Piano_Sonatas_21-1_no_repeat_ToA02M/track.npy,asap,0,0.8740254411161265,0.7138263665594855,0.7138263665594855,0.6573248407643312,0.19135802469135801,0.5661641541038526
asap/Beethoven_Piano_Sonatas_21-1_no_repeat_TongB03M/track.npy,asap,0,0.8893476465730802,0.7379983726606998,0.7379983726606998,0.6432291666666666,0.14072494669509594,0.5695142378559463
asap/Beethoven_Piano_Sonatas_21-1_no_repeat_WangA02M/track.npy,asap,0,0.8515915667631252,0.6764466177669112,0.6764466177669112,0.6301020408163266,0.19135802469135801,0.46218487394957986
asap/Beethoven_Piano_Sonatas_21-1_no_repeat_YeZ02M/track.npy,asap,0,0.900170648464164,0.7646566164154104,0.7646566164154104,0.7345767575322812,0.34673366834170855,0.34673366834170855
asap/Beethoven_Piano_Sonatas_21-1_no_repeat_ZhangW01M/track.npy,asap,0,0.8628263572316619,0.669672131147541,0.669672131147541,0.6586985391766268,0.20044052863436124,0.440536013400335
asap/Beethoven_Piano_Sonatas_9-3_Tysman05M/track.npy,asap,0,0.6385696040868455,0.02462121212121212,0.7954545454545454,0.6784660766961652,0.1943127962085308,0.5058823529411764
asap/Chopin_Ballades_3_Ko11M/track.npy,asap,0,0.7712287712287711,0.5916030534351145,0.5916030534351145,0.5799573560767591,0.4560669456066946,0.4560669456066946
asap/Chopin_Ballades_3_LinPeng06M/track.npy,asap,0,0.7598499061913696,0.5280135823429541,0.5280135823429541,0.636,0.5019157088122606,0.5019157088122606
asap/Chopin_Etudes_op_10_1_ChenW03M/track.npy,asap,0,0.9402515723270439,0.7827380952380952,0.7827380952380952,0.8258064516129033,0.6625,0.6625
asap/Chopin_Etudes_op_10_1_KaiRuiR03M/track.npy,asap,0,0.913312693498452,0.7159420289855073,0.7159420289855073,0.8758169934640522,0.7792207792207793,0.7792207792207793
asap/Chopin_Etudes_op_10_1_LiYZ02M/track.npy,asap,0,0.9493670886075949,0.8283132530120482,0.8283132530120482,0.9078947368421053,0.8311688311688312,0.8311688311688312
asap/Chopin_Etudes_op_10_1_LuM02M/track.npy,asap,0,0.804093567251462,0.4779220779220779,0.4779220779220779,0.6853146853146853,0.44594594594594594,0.44594594594594594
asap/Chopin_Etudes_op_10_1_MunA07M/track.npy,asap,0,0.9053627760252365,0.6916167664670658,0.6916167664670658,0.9536423841059603,0.9078947368421053,0.9078947368421053
asap/Chopin_Etudes_op_10_1_SunY03M/track.npy,asap,0,0.8654434250764527,0.5734463276836158,0.5734463276836158,0.767123287671233,0.6133333333333333,0.6133333333333333
asap/Chopin_Etudes_op_10_1_YeF03M/track.npy,asap,0,0.7864823348694316,0.42165242165242167,0.42165242165242167,0.6928104575163399,0.5,0.5
asap/Chopin_Etudes_op_10_1_YuP02M/track.npy,asap,0,0.9088145896656535,0.680672268907563,0.680672268907563,0.8026315789473685,0.7105263157894737,0.7105263157894737
asap/Haydn_Keyboard_Sonatas_39-3_Yarden07M/track.npy,asap,0,0.9697601668404587,0.9342915811088296,0.9342915811088296,0.948051948051948,0.9067796610169492,0.9067796610169492
asap/Liszt_Annees_de_pelerinage_2_1_Gondoliera_LeungM08M/track.npy,asap,0,0.518032786885246,0.2700534759358289,0.2700534759358289,0.42690058479532167,0.19642857142857142,0.2170212765957447
asap/Liszt_Annees_de_pelerinage_2_1_Gondoliera_LeungM12M/track.npy,asap,0,0.47184170471841713,0.1828978622327791,0.1828978622327791,0.42165242165242167,0.22317596566523606,0.22317596566523606
asap/Rachmaninoff_Preludes_op_23_6_Nikiforov14M/track.npy,asap,0,0.6590909090909092,0.4148936170212766,0.4148936170212766,0.3883495145631068,0.08064516129032258,0.2222222222222222
asap/Schubert_Impromptu_op142_3_Richardson07M/track.npy,asap,0,0.6784214945424012,0.10526315789473684,0.7253948967193196,0.645045045045045,0.12034383954154727,0.6277372262773723
asap/Schubert_Impromptu_op142_3_RichardsonC06M/track.npy,asap,0,0.6222558667676003,0.06823266219239374,0.6644295302013423,0.6058394160583941,0.09880239520958084,0.5550351288056206
asap/Schubert_Impromptu_op142_3_SunY08M/track.npy,asap,0,0.5932666060054596,0.027925531914893616,0.7180851063829787,0.5870020964360587,0.06930693069306931,0.6397694524495677
asap/Schubert_Impromptu_op142_3_WangH06M/track.npy,asap,0,0.6240369799691834,0.028735632183908046,0.7908045977011494,0.6387434554973821,0.10584958217270195,0.6182669789227166
asap/Schubert_Impromptu_op142_3_YoungS06M/track.npy,asap,0,0.6557120500782472,0.08588235294117647,0.7146198830409357,0.5989492119089317,0.0700280112044818,0.6135831381733021
ballroom/ballroom_Albums-AnaBelen_Veneo-11/track.npy,ballroom,0,1.0,1.0,1.0,1.0,1.0,1.0
ballroom/ballroom_Albums-Ballroom_Classics4-07/track.npy,ballroom,0,1.0,1.0,1.0,1.0,1.0,1.0
ballroom/ballroom_Albums-Ballroom_Classics4-09/track.npy,ballroom,0,1.0,1.0,1.0,1.0,1.0,1.0
ballroom/ballroom_Albums-Cafe_Paradiso-02/track.npy,ballroom,0,1.0,1.0,1.0,1.0,1.0,1.0
ballroom/ballroom_Albums-Chrisanne2-03/track.npy,ballroom,0,0.8285714285714286,1.0,1.0,0.8181818181818182,1.0,1.0
ballroom/ballroom_Albums-Chrisanne3-08/track.npy,ballroom,0,0.9932885906040269,0.9866666666666667,0.9866666666666667,1.0,1.0,1.0
ballroom/ballroom_Albums-GloriaEstefan_MiTierra-08/track.npy,ballroom,0,0.9863013698630138,0.972972972972973,0.972972972972973,1.0,1.0,1.0
ballroom/ballroom_Albums-Latin_Jam-01/track.npy,ballroom,0,0.9904761904761905,0.9811320754716981,0.9811320754716981,0.962962962962963,0.9285714285714286,0.9285714285714286
ballroom/ballroom_Albums-Latin_Jam-05/track.npy,ballroom,0,1.0,1.0,1.0,1.0,1.0,1.0
ballroom/ballroom_Albums-Latin_Jam-07/track.npy,ballroom,0,1.0,1.0,1.0,1.0,1.0,1.0
ballroom/ballroom_Albums-Latin_Jam2-11/track.npy,ballroom,0,1.0,1.0,1.0,1.0,1.0,1.0
ballroom/ballroom_Albums-Latin_Jam4-13/track.npy,ballroom,0,1.0,1.0,1.0,1.0,1.0,1.0
ballroom/ballroom_Albums-Latin_Jam5-06/track.npy,ballroom,0,0.9879518072289156,0.9761904761904762,0.9761904761904762,1.0,1.0,1.0
ballroom/ballroom_Albums-Latin_Jam5-07/track.npy,ballroom,0,1.0,1.0,1.0,1.0,1.0,1.0
