piece,dataset,fold,beat_fmeasure,beat_cmlt,beat_amlt,downbeat_fmeasure,downbeat_cmlt,downbeat_amlt
asap/Bach_Fugue_bwv_860_Ko04M/track.npy,asap,1,0.4444444444444444,0.0064516129032258064,0.0064516129032258064,0.5628140703517588,0.31896551724137934,0.31896551724137934
asap/Bach_Fugue_bwv_860_Nikiforov05M/track.npy,asap,1,0.4259259259259259,0.01509433962264151,0.01509433962264151,0.4591836734693877,0.2743362831858407,0.2743362831858407
asap/Bach_Fugue_bwv_860_Tetzloff04M/track.npy,asap,1,0.4968152866242038,0.0021691973969631237,0.013015184381778741,0.588235294117647,0.01935483870967742,0.8181818181818182
asap/Bach_Fugue_bwv_860_TuanS01M/track.npy,asap,1,0.46808510638297873,0.005714285714285714,0.005714285714285714,0.5510204081632654,0.21238938053097345,0.2727272727272727
asap/Bach_Fugue_bwv_860_YoungS01M/track.npy,asap,1,0.5126050420168067,0.07096774193548387,0.07096774193548387,0.6086956521739131,0.36633663366336633,0.36633663366336633
asap/Bach_Fugue_bwv_860_ZhangH04M/track.npy,asap,1,0.46551724137931033,0.002421307506053269,0.004842615012106538,0.5110132158590308,0.0625,0.44242424242424244
asap/Bach_Fugue_bwv_880_LeungR01M/track.npy,asap,1,1.0,1.0,1.0,0.5810055865921787,0.5483870967741935,0.5483870967741935
asap/Bach_Fugue_bwv_880_WangA04M/track.npy,asap,1,0.9973333333333333,0.9893617021276596,0.9893617021276596,0.6557377049180327,0.5957446808510638,0.5957446808510638
asap/Bach_Fugue_bwv_893_Kleisen04M/track.npy,asap,1,0.7276785714285714,0.1936619718309859,0.31097560975609756,0.6257668711656442,0.29473684210526313,0.29473684210526313
asap/Bach_Fugue_bwv_893_Levitsky04M/track.npy,asap,1,0.6572104018912529,0.017605633802816902,0.43661971830985913,0.45555555555555555,0.07368421052631578,0.07368421052631578
asap/Bach_Fugue_bwv_893_Wong01M/track.npy,asap,1,0.6520787746170678,0.22456140350877193,0.47674418604651164,0.5394736842105263,0.22105263157894736,0.2631578947368421
asap/Bach_Prelude_bwv_864_SunD01M/track.npy,asap,1,0.6101694915254238,0.5617977528089888,0.5617977528089888,0.4242424242424242,0.022727272727272728,0.5454545454545454
asap/Bach_Prelude_bwv_884_LiA01M/track.npy,asap,1,1.0,1.0,1.0,0.9885057471264368,0.9772727272727273,0.9772727272727273
asap/Bach_Prelude_bwv_887_LiYZ01M/track.npy,asap,1,0.9896373056994819,0.9742268041237113,0.9742268041237113,0.8,0.3333333333333333,0.5052631578947369
asap/Balakirev_Islamey_CHEN10M/track.npy,asap,1,0.7823026646556059,0.5364431486880467,0.5364431486880467,0.6005509641873278,0.41450777202072536,0.41450777202072536
asap/Balakirev_Islamey_Na08M/track.npy,asap,1,0.735973597359736,0.3508771929824561,0.3508771929824561,0.5599999999999999,0.4306784660766962,0.4306784660766962
asap/Balakirev_Islamey_Yi04M/track.npy,asap,1,0.8498498498498498,0.6973811833171678,0.6973811833171678,0.6845238095238095,0.5147058823529411,0.5147058823529411
asap/Beethoven_Piano_Sonatas_17-2_USHIKI05M/track.npy,asap,1,0.6980854197349042,0.3512064343163539,0.3512064343163539,0.3773584905660377,0.0,0.012269938650306749
asap/Beethoven_Piano_Sonatas_26-1_HuNY02M/track.npy,asap,1,0.6411378555798687,0.007531380753138075,0.8151658767772512,0.8854166666666667,0.7328990228013029,0.7328990228013029
asap/Beethoven_Piano_Sonatas_26-1_Sham03M/track.npy,asap,1,0.6314606741573033,0.0041841004184100415,0.8762541806020067,0.8701754385964912,0.6775244299674267,0.6775244299674267
asap/Beethoven_Piano_Sonatas_26-1_Zhdanov05M/track.npy,asap,1,0.5953854811480023,0.0033472803347280333,0.7023411371237458,0.7791741472172352,0.5667752442996743,0.5667752442996743
asap/Beethoven_Piano_Sonatas_26-1_no_repeat_Kim02M/track.npy,asap,1,0.6226040978189029,0.012207527975584944,0.7283018867924528,0.8489795918367348,0.6614173228346457,0.6614173228346457
asap/Beethoven_Piano_Sonatas_4-1_Chon03M/track.npy,asap,1,0.8756148981026002,0.8567415730337079,0.8567415730337079,0.5694682675814751,0.2247191011235955,0.4052863436123348
asap/Beethoven_Piano_Sonatas_4-1_LeeE02M/track.npy,asap,1,0.8753462603878116,0.8090040927694406,0.8090040927694406,0.6788685524126455,0.30337078651685395,0.3836734693877551
asap/Beethoven_Piano_Sonatas_4-1_LiA04M/track.npy,asap,1,0.8811674774148713,0.8434065934065934,0.8434065934065934,0.6915584415584416,0.4157303370786517,0.4157303370786517
asap/Beethoven_Piano_Sonatas_4-1_SirajA02M/track.npy,asap,1,0.9171974522292994,0.8848314606741573,0.8848314606741573,0.6198630136986302,0.24719101123595505,0.3815789473684211
asap/Chopin_Etudes_op_10_10_WangH02M/track.npy,asap,1,0.7372549019607842,0.29931972789115646,0.3888888888888889,0.6459627329192548,0.4367816091954023,0.4367816091954023
asap/Chopin_Etudes_op_10_4_Duepree06M/track.npy,asap,1,0.9728867623604466,0.9203821656050956,0.9203821656050956,0.9493670886075949,0.9493670886075949,0.9493670886075949
